"fornavn","efternavn","alder","vejnavn","nummer","betegnelse","bynavn","kørekort-li","kørekort-mc","kørekort-st"
"Lone","Andersen","23","Mosevej","64","","Horsens","j","n","n"
"Gitte","Christensen","43","Nyvej","87","","Kolding","j","n","n"
"Lone","Nielsen","25","Kirkevej","76","","Herning","n","n","n"
"Martin","Pedersen","93","Skolevej","69","","Randers","j","n","n"
"Mette","Pedersen","55","Nørregade","77","","Roskilde","j","j","n"
"Mette","Kristensen","41","Nørregade","36","","Køge","j","n","n"
"Lene","Andersen","85","Mosevej","83","","Kolding","j","n","n"
"Jesper","Rasmussen","76","Vinkelvej","28","","Aalborg","n","n","n"
"Jørgen","Larsen","20","Skolevej","96","B","Næstved","j","n","j"
"Søren","Nielsen","48","Skovbrynet","1","","Fredericia","j","n","n"
"Morten","Christiansen","46","Nyvej","82","","Viborg","j","n","n"
"Lone","Nielsen","64","Kirkevej","30","","Esbjerg","j","n","n"
"Lone","Andersen","59","Engvej","16","","Helsingør","n","n","n"
"Jens","Pedersen","39","Tværvej","42","","Herning","j","n","j"
"Marianne","Christiansen","49","Tværvej","81","","Roskilde","j","n","j"
"Lone","Christiansen","53","Kirkevej","97","","Næstved","n","n","n"
"Maria","Møller","68","Syrenvej","43","","Aarhus","j","n","n"
"Per","Kristensen","77","Kirkevej","82","","Aalborg","j","n","n"
"Anne","Jørgensen","94","Mågevej","74","","Holstebro","n","n","n"
"Mette","Johansen","69","Vestergade","70","","Holstebro","j","n","n"
"Niels","Jørgensen","54","Skovvej","77","","Herning","j","j","j"
"Jette","Christensen","43","Skolevej","94","","Silkeborg","j","n","n"
"Peter","Christiansen","44","Nørregade","98","","Odense","j","j","j"
"Jette","Møller","69","Industrivej","47","","Næstved","j","j","n"
"Maria","Christiansen","34","Mågevej","93","","Silkeborg","j","n","n"
"Anne","Jørgensen","56","Mosevej","26","","Aarhus","j","n","n"
"Helle","Jensen","85","Industrivej","46","","Næstved","j","n","n"
"Hanne","Kristensen","22","Skolegade","35","","Aarhus","j","n","n"
"Jens","Larsen","48","Lærkevej","17","1. th","Randers","j","n","n"
"Lene","Sørensen","38","Industrivej","98","","Kolding","j","n","n"
"Jørgen","Jensen","31","Industrivej","77","st th","Hørsholm","j","n","n"
"Lene","Christiansen","69","Mågevej","56","","Kolding","j","n","n"
"Louise","Thomsen","19","Skovbrynet","46","","Helsingør","n","n","n"
"Camilla","Olsen","19","Tværvej","1","","Holstebro","j","n","n"
"Peter","Christensen","84","Stationsvej","70","","Viborg","j","n","n"
